,asset,assetAmount,value,date
0,ETH-A,513763.0,826624504.87,2022-07-20-00-00-00-000000
1,ETH-B,81241.0,130714071.46,2022-07-20-00-00-00-000000
2,ETH-C,963716.0,1550580295.59,2022-07-20-00-00-00-000000
3,WSTETH-A,131105.0,219782478.3,2022-07-20-00-00-00-000000
4,WSTETH-B,101665.0,170429707.91,2022-07-20-00-00-00-000000
5,USDC-A,227113187.0,227113186.98,2022-07-20-00-00-00-000000
6,WBTC-A,34096.0,823968866.67,2022-07-20-00-00-00-000000
7,WBTC-B,650.0,15716255.93,2022-07-20-00-00-00-000000
8,WBTC-C,5365.0,129648353.77,2022-07-20-00-00-00-000000
9,MANA-A,68345084.0,66741351.34,2022-07-20-00-00-00-000000
10,USDP-A,6237220.0,6237219.84,2022-07-20-00-00-00-000000
11,LINK-A,878302.0,6431875.31,2022-07-20-00-00-00-000000
12,YFI-A,58.0,396338.15,2022-07-20-00-00-00-000000
13,GUSD-A,392094.0,392093.89,2022-07-20-00-00-00-000000
14,UNI-A,114536.0,846744.28,2022-07-20-00-00-00-000000
15,RENBTC-A,355.0,8580283.33,2022-07-20-00-00-00-000000
16,MATIC-A,130864568.0,120434007.68,2022-07-20-00-00-00-000000
17,UNIV2DAIETH-A,1730.0,328521.37,2022-07-20-00-00-00-000000
18,UNIV2WBTCETH-A,0.00025942,500080.56,2022-07-20-00-00-00-000000
19,UNIV2USDCETH-A,0.04081832,6617201.34,2022-07-20-00-00-00-000000
20,UNIV2DAIUSDC-A,78.93299347,177781865.57,2022-07-20-00-00-00-000000
21,UNIV2WBTCDAI-A,0.00024175,13486.71,2022-07-20-00-00-00-000000
22,GUNIV3DAIUSDC1-A,750829.0,766182229.45,2022-07-20-00-00-00-000000
23,GUNIV3DAIUSDC2-A,3395361.0,686614537.7,2022-07-20-00-00-00-000000
24,CRVV1ETHSTETH-A,447.62431062,734080.13,2022-07-20-00-00-00-000000
25,RWA001-A,1.0,15913500.0,2022-07-20-00-00-00-000000
26,RWA002-A,1.0,22495725.0,2022-07-20-00-00-00-000000
27,RWA003-A,1.0,2359560.0,2022-07-20-00-00-00-000000
28,RWA004-A,1.0,8815730.0,2022-07-20-00-00-00-000000
29,RWA005-A,1.0,17199394.0,2022-07-20-00-00-00-000000
30,RWA006-A,0.0,0.0,2022-07-20-00-00-00-000000
31,USDC,3744149367.0,3741940318.8734703,2022-07-20-00-00-00-000000
32,USDP,459825635.0,461205111.905,2022-07-20-00-00-00-000000
33,GUSD,56.0,55.904520000000005,2022-07-20-00-00-00-000000
34,ETH-A,510581.0,767312571.55,2022-07-21-00-00-00-000000
35,ETH-B,81521.0,122511613.47,2022-07-21-00-00-00-000000
36,ETH-C,967753.0,1454361315.83,2022-07-21-00-00-00-000000
37,WSTETH-A,131105.0,207779092.46,2022-07-21-00-00-00-000000
38,WSTETH-B,102044.0,161722589.13,2022-07-21-00-00-00-000000
39,USDC-A,227113187.0,227113186.98,2022-07-21-00-00-00-000000
