,asset,proportion,value,date
0,Other Investments(Including Digital Tokens),0.0602,3973721812.5868335,2022-07-20-00-00-00-000000
1,Secured Loans(None To Affiliated Entities),0.0382,2521531116.9570937,2022-07-20-00-00-00-000000
2,"Corporate Bonds, Funds & Precious Metals",0.0452,2983591792.839284,2022-07-20-00-00-00-000000
3,Non-U.S. Treasury Bills,0.0035112399999999,231772275.3692258,2022-07-20-00-00-00-000000
4,U.S. Treasury Bills,0.47555892,31391010856.714905,2022-07-20-00-00-00-000000
5,Reverse Repurchase Agreements,0.0012846,84794734.89118019,2022-07-20-00-00-00-000000
6,Cash & Bank Deposits,0.04975684,3284382731.4517126,2022-07-20-00-00-00-000000
7,Money Market Funds,0.08247132,5443821980.013768,2022-07-20-00-00-00-000000
8,Commercial Paper and Certificates of Deposit,0.24381708,16094040682.346,2022-07-20-00-00-00-000000
9,Other Investments(Including Digital Tokens),0.0602,3973721812.5868335,2022-07-21-00-00-00-000000
10,Secured Loans(None To Affiliated Entities),0.0382,2521531116.9570937,2022-07-21-00-00-00-000000
11,"Corporate Bonds, Funds & Precious Metals",0.0452,2983591792.839284,2022-07-21-00-00-00-000000
12,Non-U.S. Treasury Bills,0.0035112399999999,231772275.3692258,2022-07-21-00-00-00-000000
13,U.S. Treasury Bills,0.47555892,31391010856.714905,2022-07-21-00-00-00-000000
14,Reverse Repurchase Agreements,0.0012846,84794734.89118019,2022-07-21-00-00-00-000000
15,Cash & Bank Deposits,0.04975684,3284382731.4517126,2022-07-21-00-00-00-000000
16,Money Market Funds,0.08247132,5443821980.013768,2022-07-21-00-00-00-000000
17,Commercial Paper and Certificates of Deposit,0.24381708,16094040682.346,2022-07-21-00-00-00-000000
18,Other Investments(Including Digital Tokens),0.0602,3973420812.5868335,2022-07-22-00-00-00-000000
19,Secured Loans(None To Affiliated Entities),0.0382,2521340116.9570937,2022-07-22-00-00-00-000000
20,"Corporate Bonds, Funds & Precious Metals",0.0452,2983365792.839284,2022-07-22-00-00-00-000000
21,Non-U.S. Treasury Bills,0.0035112399999999,231754719.1692258,2022-07-22-00-00-00-000000
22,U.S. Treasury Bills,0.47555892,31388633062.114902,2022-07-22-00-00-00-000000
23,Reverse Repurchase Agreements,0.0012846,84788311.89118019,2022-07-22-00-00-00-000000
24,Cash & Bank Deposits,0.04975684,3284133947.2517123,2022-07-22-00-00-00-000000
25,Money Market Funds,0.08247132,5443409623.413769,2022-07-22-00-00-00-000000
26,Commercial Paper and Certificates of Deposit,0.24381708,16092821596.946,2022-07-22-00-00-00-000000
27,Other Investments(Including Digital Tokens),0.0602,3973420812.5868335,2022-07-23-00-00-00-000000
28,Secured Loans(None To Affiliated Entities),0.0382,2521340116.9570937,2022-07-23-00-00-00-000000
